X,Y,Z,C
-46.7420,16.1908,-6.0167,5.0000
-46.9627,16.1908,-6.0108,5.0000
-47.1832,16.1908,-6.0060,5.0000
-47.4035,16.1908,-6.0024,5.0000
-47.6236,16.1908,-5.9998,5.0000
-47.8437,16.1908,-5.9983,5.0000
-48.0637,16.1908,-5.9980,5.0000
-48.2837,16.1908,-5.9987,5.0000
-48.5037,16.1908,-6.0005,5.0000
-48.7239,16.1908,-6.0035,5.0000
-48.9443,16.1908,-6.0075,5.0000
-49.1648,16.1908,-6.0126,5.0000
-49.3857,16.1908,-6.0188,5.0000
-49.6068,16.1908,-6.0262,5.0000
-49.8284,16.1908,-6.0346,17.0000
-50.0504,16.1908,-6.0442,17.0000
-50.2728,16.1908,-6.0549,17.0000
-50.4959,16.1908,-6.0667,17.0000
-50.7195,16.1908,-6.0796,5.0000
-50.9438,16.1908,-6.0937,5.0000
-51.1688,16.1908,-6.1090,5.0000
-51.3946,16.1908,-6.1254,5.0000
-51.8906,17.5960,-7.2517,4.0000
-52.1299,17.5705,-7.2517,4.0000
-52.3693,17.5434,-7.2517,4.0000
-52.6088,17.5147,-7.2517,4.0000
-52.8484,17.4846,-7.2517,4.0000
-53.0880,17.4528,-7.2517,4.0000
-53.3277,17.4195,-7.2517,4.0000
-53.5675,17.3846,-7.2517,4.0000
-53.8074,17.3481,-7.2517,4.0000
-54.0474,17.3100,-7.2517,4.0000
-54.2875,17.2704,-7.2517,4.0000
-54.5276,17.2291,-7.2517,4.0000
-54.7679,17.1863,-7.2517,4.0000
-55.0083,17.1418,-7.2517,4.0000
-55.2488,17.0958,-7.2517,4.0000
-55.4894,17.0481,-7.2517,4.0000
-55.7302,16.9988,-7.2517,4.0000
-55.9710,16.9479,-7.2517,4.0000
-56.2120,16.8953,-7.2517,4.0000
-40.5422,15.0978,-7.2517,4.0000
-40.7640,15.1481,-7.2517,4.0000
-40.9857,15.1967,-7.2517,4.0000
-41.2074,15.2438,-7.2517,4.0000
-41.4290,15.2894,-7.2517,4.0000
-41.6506,15.3334,-7.2517,4.0000
-41.8722,15.3758,-7.2517,4.0000
-42.0937,15.4167,-7.2517,4.0000
-42.3152,15.4561,-7.2517,4.0000
-42.5366,15.4939,-7.2517,4.0000
-42.7580,15.5303,-7.2517,4.0000
-42.9794,15.5650,-7.2517,4.0000
-43.2007,15.5983,-7.2517,4.0000
-43.4220,15.6301,-7.2517,4.0000
-43.6432,15.6603,-7.2517,4.0000
-43.8645,15.6890,-7.2517,4.0000
-44.0857,15.7162,-7.2517,4.0000
-44.3068,15.7420,-7.2517,4.0000
-44.5280,15.7662,-7.2517,4.0000
-44.7491,15.7889,-7.2517,4.0000
-44.9702,15.8101,-7.2517,4.0000
-45.1912,15.8299,-7.2517,4.0000
-45.4123,15.8481,-7.2517,4.0000
-45.6333,15.8649,-7.2517,4.0000
-45.8543,15.8802,-7.2517,4.0000
-46.0753,15.8940,-7.2517,4.0000
-46.2963,15.9063,-7.2517,4.0000
-46.5173,15.9171,-7.2517,4.0000
-46.7382,15.9265,-7.2517,4.0000
-46.9592,15.9343,-7.2517,4.0000
-47.1801,15.9407,-7.2517,4.0000
-47.4011,15.9457,-7.2517,4.0000
-47.6220,15.9491,-7.2517,4.0000
-47.8429,15.9511,-7.2517,4.0000
-48.0638,15.9516,-7.2517,4.0000
-48.2848,15.9506,-7.2517,4.0000
-48.5057,15.9481,-7.2517,4.0000
-48.7266,15.9442,-7.2517,4.0000
-48.9476,15.9388,-7.2517,4.0000
-49.1685,15.9319,-7.2517,4.0000
-49.3894,15.9235,-7.2517,4.0000
-49.6104,15.9137,-7.2517,4.0000
-49.8314,15.9024,-7.2517,4.0000
-50.0524,15.8896,-7.2517,4.0000
-50.2734,15.8753,-7.2517,4.0000
-50.4944,15.8595,-7.2517,4.0000
-50.7154,15.8423,-7.2517,4.0000
-50.9365,15.8236,-7.2517,4.0000
-51.1575,15.8033,-7.2517,4.0000
-51.3786,15.7816,-7.2517,4.0000
-51.5998,15.7584,-7.2517,4.0000
-51.8209,15.7337,-7.2517,4.0000
