X,Y,Z,C
-76.3757,22.4833,-0.9500,4.0000
-76.4052,22.2567,-0.9500,4.0000
-76.4331,22.0301,-0.9500,4.0000
-76.4595,21.8035,-0.9500,4.0000
-76.4843,21.5770,-0.9500,4.0000
-76.5076,21.3505,-0.9500,4.0000
-76.5294,21.1240,-0.9500,4.0000
-76.5497,20.8975,-0.9500,4.0000
-76.5684,20.6711,-0.9500,4.0000
-76.5856,20.4446,-0.9500,4.0000
-76.6013,20.2182,-0.9500,4.0000
-76.6154,19.9918,-0.9500,4.0000
-76.6281,19.7655,-0.9500,4.0000
-76.6392,19.5391,-0.9500,4.0000
-76.6488,19.3128,-0.9500,4.0000
-76.6569,19.0864,-0.9500,4.0000
-76.6635,18.8601,-0.9500,4.0000
-76.6686,18.6337,-0.9500,4.0000
-76.6721,18.4074,-0.9500,4.0000
-76.6742,18.1811,-0.9500,4.0000
-76.6747,17.9548,-0.9500,4.0000
-76.6738,17.7285,-0.9500,4.0000
-76.6713,17.5021,-0.9500,4.0000
-76.6673,17.2758,-0.9500,4.0000
-76.6618,17.0495,-0.9500,4.0000
-76.6548,16.8232,-0.9500,4.0000
-76.6462,16.5968,-0.9500,4.0000
-76.6362,16.3705,-0.9500,4.0000
-76.6246,16.1441,-0.9500,4.0000
-76.6115,15.9177,-0.9500,4.0000
-76.5969,15.6913,-0.9500,4.0000
-76.5808,15.4649,-0.9500,4.0000
-76.5632,15.2385,-0.9500,4.0000
-76.5440,15.0120,-0.9500,4.0000
-76.5233,14.7855,-0.9500,4.0000
-76.5011,14.5590,-0.9500,4.0000
-76.4774,14.3325,-0.9500,4.0000
-76.4521,14.1060,-0.9500,4.0000
-76.4253,13.8794,-0.9500,4.0000
-76.3969,13.6528,-0.9500,4.0000
-76.3670,13.4261,-0.9500,4.0000
-76.3355,13.1995,-0.9500,4.0000
-76.3025,12.9728,-0.9500,4.0000
-76.2680,12.7460,-0.9500,4.0000
-76.2319,12.5193,-0.9500,4.0000
-76.1942,12.2925,-0.9500,4.0000
-76.1550,12.0656,-0.9500,4.0000
-76.1141,11.8387,-0.9500,4.0000
-76.0717,11.6118,-0.9500,4.0000
-76.0278,11.3848,-0.9500,4.0000
-75.9822,11.1578,-0.9500,4.0000
-75.9351,10.9307,-0.9500,4.0000
-75.8863,10.7036,-0.9500,4.0000
-75.8360,10.4764,-0.9500,4.0000
-75.7840,10.2492,-0.9500,4.0000
-74.1364,25.0918,-0.9500,4.0000
-74.1859,24.8820,-0.9500,4.0000
-74.2339,24.6723,-0.9500,4.0000
-74.2804,24.4625,-0.9500,4.0000
-74.3254,24.2527,-0.9500,4.0000
-74.3688,24.0429,-0.9500,4.0000
-74.4107,23.8331,-0.9500,4.0000
-74.4511,23.6233,-0.9500,4.0000
-74.4900,23.4135,-0.9500,4.0000
-74.5273,23.2037,-0.9500,4.0000
-74.5632,22.9938,-0.9500,4.0000
-74.5976,22.7840,-0.9500,4.0000
-74.6304,22.5742,-0.9500,4.0000
-74.6618,22.3643,-0.9500,4.0000
-74.6917,22.1545,-0.9500,4.0000
-74.7201,21.9446,-0.9500,4.0000
-74.7470,21.7348,-0.9500,4.0000
-74.7725,21.5249,-0.9500,4.0000
-74.7964,21.3151,-0.9500,4.0000
-74.8189,21.1052,-0.9500,4.0000
-74.8399,20.8953,-0.9500,4.0000
-74.8594,20.6855,-0.9500,4.0000
-74.8775,20.4756,-0.9500,4.0000
-74.8941,20.2657,-0.9500,4.0000
-74.9092,20.0559,-0.9500,4.0000
-74.9229,19.8460,-0.9500,4.0000
-74.9351,19.6361,-0.9500,4.0000
-74.9458,19.4263,-0.9500,4.0000
-74.9551,19.2164,-0.9500,4.0000
-74.9629,19.0065,-0.9500,4.0000
-74.9693,18.7966,-0.9500,4.0000
-74.9742,18.5868,-0.9500,4.0000
-74.9776,18.3769,-0.9500,4.0000
-74.9796,18.1670,-0.9500,4.0000
-74.9801,17.9571,-0.9500,4.0000
-74.9792,17.7473,-0.9500,4.0000
-74.9768,17.5374,-0.9500,4.0000
-74.9729,17.3275,-0.9500,4.0000
-74.9676,17.1176,-0.9500,4.0000
-74.9608,16.9078,-0.9500,4.0000
-74.9526,16.6979,-0.9500,4.0000
-74.9429,16.4880,-0.9500,4.0000
-74.9317,16.2781,-0.9500,4.0000
-74.9191,16.0683,-0.9500,4.0000
-74.9050,15.8584,-0.9500,4.0000
-74.8895,15.6485,-0.9500,4.0000
-74.8725,15.4387,-0.9500,4.0000
-74.8540,15.2288,-0.9500,4.0000
-74.8340,15.0189,-0.9500,4.0000
-74.8126,14.8091,-0.9500,4.0000
-74.7897,14.5992,-0.9500,4.0000
-74.7653,14.3893,-0.9500,4.0000
-74.7395,14.1795,-0.9500,4.0000
-74.7121,13.9696,-0.9500,4.0000
-74.6833,13.7598,-0.9500,4.0000
-74.6530,13.5500,-0.9500,4.0000
-74.6212,13.3401,-0.9500,4.0000
-74.5879,13.1303,-0.9500,4.0000
-74.5531,12.9204,-0.9500,4.0000
-74.5168,12.7106,-0.9500,4.0000
-74.4790,12.5008,-0.9500,4.0000
-74.4397,12.2910,-0.9500,4.0000
-74.3989,12.0812,-0.9500,4.0000
-74.3565,11.8714,-0.9500,4.0000
-74.3127,11.6616,-0.9500,4.0000
-74.2673,11.4518,-0.9500,4.0000
-74.2204,11.2420,-0.9500,4.0000
-74.1719,11.0323,-0.9500,4.0000
-74.1219,10.8225,-0.9500,4.0000
-72.6346,24.5784,-0.9500,4.0000
-72.6821,24.3844,-0.9500,4.0000
-72.7281,24.1902,-0.9500,4.0000
-72.7727,23.9960,-0.9500,4.0000
